Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
Ty Montgomery,NWE,30,WR,11,0,2,7,0,0,50.0,7,3.5,0.6,0
Darnell Mooney,CHI,26,WR,12,12,2,5,0,0,0.0,3,2.5,0.4,0
Chris Moore,TEN,30,WR,11,3,2,39,0,1,50.0,38,19.5,3.5,1
Kene Nwangwu,MIN,25,RB,4,0,2,9,0,0,50.0,8,4.5,2.3,0
Dare Ogunbowale,HOU,29,RB,6,0,2,4,0,1,50.0,2,2.0,0.7,0
Nathan Peterman,CHI,29,QB,1,0,2,-4,0,0,0.0,-2,-2.0,-4.0,1
George Pickens,PIT,22,WR,11,11,2,15,0,1,50.0,16,7.5,1.4,1
Ben Skowronek,LAR,26,WR,11,0,2,9,0,1,50.0,11,4.5,0.8,0
Jaylen Waddle,MIA,25,WR,10,10,2,10,0,1,50.0,12,5.0,1.0,0
Christian Watson,GNB,24,WR,8,8,2,-4,0,0,0.0,1,-2.0,-0.5,0
Israel Abanikanda,NYJ,21,RB,1,0,1,11,0,1,100.0,11,11.0,11.0,0
Jordan Addison,MIN,21,WR,12,9,1,2,0,0,0.0,2,2.0,0.2,0
Mark Andrews,BAL,28,TE,10,9,1,0,0,0,0.0,0,0.0,0.0,1
Rashod Bateman,BAL,24,WR,11,7,1,18,0,1,100.0,18,18.0,1.6,0
Nick Bawden,NYJ,27,FB,11,2,1,1,1,1,100.0,1,1.0,0.1,0
Braxton Berrios,MIA,28,WR,10,1,1,11,0,1,100.0,11,11.0,1.1,1
Jake Bobo,SEA,25,WR,12,0,1,3,1,1,100.0,3,3.0,0.3,0
Kendrick Bourne,NWE,28,WR,8,5,1,4,0,1,100.0,4,4.0,0.5,1
Tyler Boyd,CIN,29,WR,11,10,1,6,0,1,100.0,6,6.0,0.5,0
Dyami Brown,WAS,24,WR,12,1,1,0,0,0,0.0,0,0.0,0.0,0
Noah Brown,HOU,27,WR,5,2,1,-1,0,0,0.0,-1,-1.0,-0.2,0
Jason Cabinda,DET,27,FB,3,0,1,0,0,0,0.0,0,0.0,0.0,0
Sean Clifford,GNB,25,QB,1,0,1,0,0,0,0.0,0,0.0,0.0,1
Jashaun Corbin,NYG,23,RB,3,0,1,1,0,1,100.0,1,1.0,0.3,0
Gabriel Davis,BUF,24,WR,12,12,1,-2,0,0,0.0,-2,-2.0,-0.2,1
Kenyan Drake,BAL,29,RB,2,0,1,0,0,0,0.0,0,0.0,0.0,1
Chris Godwin,TAM,27,WR,11,11,1,14,0,1,100.0,14,14.0,1.3,0
Noah Gray,KAN,24,TE,11,7,1,1,0,0,0.0,1,1.0,0.1,0
Peyton Hendershot,DAL,24,TE,3,0,1,0,0,0,0.0,0,0.0,0.0,0
Connor Heyward,PIT,24,TE,11,3,1,0,0,0,0.0,0,0.0,0.0,0
KhaDarel Hodge,ATL,28,WR,11,2,1,0,0,0,0.0,0,0.0,0.0,1
DeAndre Hopkins,TEN,31,WR,11,11,1,5,0,0,100.0,5,5.0,0.5,0
Evan Hull,IND,23,RB,1,0,1,1,0,0,0.0,1,1.0,1.0,0
Rakim Jarrett,TAM,22,WR,10,0,1,0,0,0,0.0,0,0.0,0.0,0
Quentin Johnston,LAC,22,WR,11,5,1,2,0,0,0.0,2,2.0,0.2,0
Christian Kirk,JAX,27,WR,11,11,1,6,0,0,100.0,6,6.0,0.5,2
George Kittle,SFO,30,TE,11,11,1,2,0,1,100.0,2,2.0,0.2,0
Drew Lock,SEA,27,QB,2,0,1,11,0,1,100.0,11,11.0,5.5,0
D.J. Moore,CHI,26,WR,12,12,1,1,0,0,0.0,1,1.0,0.1,1
Chigoziem Okonkwo,TEN,24,TE,11,7,1,4,0,1,100.0,4,4.0,0.4,0
Trey Palmer,TAM,22,WR,11,3,1,6,0,0,100.0,6,6.0,0.5,1
La'Mical Perine,KAN,25,RB,2,0,1,1,0,0,0.0,1,1.0,0.5,0
Kyle Pitts,ATL,23,TE,11,9,1,-4,0,0,0.0,-4,-4.0,-0.4,0
Adam Prentice,NOR,26,FB,7,1,1,5,0,0,100.0,5,5.0,0.7,1
Rashee Rice,KAN,23,WR,11,4,1,-3,0,0,0.0,-3,-3.0,-0.3,0
Jonnu Smith,ATL,28,TE,11,3,1,0,0,0,0.0,0,0.0,0.0,1
Trent Taylor,CHI,29,WR,12,0,1,-2,0,0,0.0,-2,-2.0,-0.2,0
Adam Thielen,CAR,33,WR,11,11,1,6,0,0,100.0,6,6.0,0.5,1
Logan Thomas,WAS,32,TE,11,11,1,2,0,1,100.0,2,2.0,0.2,2
Tyquan Thornton,NWE,23,WR,4,1,1,3,0,0,0.0,3,3.0,0.8,0
Cedric Tillman,CLE,23,WR,8,2,1,8,0,0,100.0,8,8.0,1.0,0
Kyle Trask,TAM,25,QB,2,0,1,-1,0,0,0.0,-1,-1.0,-0.5,0
Dontayvion Wicks,GNB,22,WR,10,2,1,1,0,0,0.0,1,1.0,0.1,2
Mike Williams,LAC,29,WR,3,3,1,3,0,0,0.0,3,3.0,1.0,0
Garrett Wilson,NYJ,23,WR,11,11,1,6,0,0,100.0,6,6.0,0.5,2
